Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Source Port,Destination Port,Protocol,Destination Port.1,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.7:59412-34.54.84.110:443-6,192.168.1.7,59412,34.54.84.110,443,6,24/04/2026 23:25:15,59412,443,6,443,399317.26455688477,14,16,3801,5707,1304.0,54.0,271.5,380.54767863473523,1304.0,54.0,356.6875,490.5022577356296,23810.640921200484,75.12823176651393,13769.56084678913,48281.53063014554,264996.0517883301,219.82192993164062,399317.26455688477,30716.712658221903,76815.8802344695,293730.4973602295,230.31234741210938,374298.8109588623,24953.254063924156,64971.885584533564,264996.0517883301,219.82192993164062,0,0,0,0,280,320,35.05984149103984,40.0683902754741,54.0,1304.0,316.93333333333334,444.63827495567176,197703.19555555558,2,2,0,12,29,0,0,0,1.1428571428571428,316.93333333333334,271.5,356.6875,280,0,0,0,0,0,0,14,3801,16,5707,511,1043,10,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.7:59087-216.239.38.223:443-6,192.168.1.7,59087,216.239.38.223,443,6,24/04/2026 23:25:20,59087,443,6,443,14345324.277877808,4,3,241,174,78.0,54.0,60.25,10.256095748383007,66.0,54.0,58.0,5.656854249492381,28.92928678091852,0.4879638734130835,2390887.3796463013,5322913.747566034,14293257.474899292,224.82872009277344,14318859.338760376,4772953.112920125,6749605.144186569,14318336.248397827,224.82872009277344,14320637.702941895,7160318.851470947,7132938.623428345,14293257.474899292,27380.22804260254,0,0,0,0,80,60,0.2788364990931906,0.20912737431989292,54.0,78.0,59.285714285714285,8.663788114317889,75.06122448979592,2,0,1,1,6,0,0,0,0.75,59.285714285714285,60.25,58.0,80,0,0,0,0,0,0,4,241,3,174,512,0,2,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.7:59305-72.153.5.61:443-6,192.168.1.7,59305,72.153.5.61,443,6,24/04/2026 23:25:30,59305,443,6,443,244048.1185913086,2,1,108,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,663.8035193022356,12.292657764856216,122024.0592956543,121266.36505126953,243290.42434692383,757.6942443847656,244048.1185913086,244048.1185913086,0.0,244048.1185913086,244048.1185913086,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,8.19510517657081,4.097552588285405,54.0,54.0,54.0,0.0,0.0,2,0,0,0,3,0,0,0,0.5,54.0,54.0,54.0,40,0,0,0,0,0,0,2,108,1,54,510,16386,0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.7:59420-34.54.84.110:443-6,192.168.1.7,59420,34.54.84.110,443,6,24/04/2026 23:25:31,59420,443,6,443,9808244.228363037,15,19,3201,5940,1304.0,54.0,213.4,311.35591638295017,1304.0,54.0,312.63157894736844,461.58904147877735,931.9710834245409,3.4664715935274466,297219.5220716072,1562369.5047128869,9127932.786941528,251.0547637939453,9808244.228363037,700588.8734545026,2343846.1682825834,9143915.41481018,273.9429473876953,9788432.598114014,543801.811006334,2088295.237161065,9147247.314453125,253.43894958496094,0,0,0,0,300,380,1.5293257030268148,1.937145890500632,54.0,1304.0,268.8529411764706,405.2922788739983,164261.83131487883,2,2,0,14,33,0,0,0,1.2666666666666666,268.8529411764706,213.4,312.63157894736844,300,0,0,0,0,0,0,15,3201,19,5940,511,1048,11,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.7:59277-52.123.253.64:443-6,192.168.1.7,59277,52.123.253.64,443,6,24/04/2026 23:25:44,59277,443,6,443,48912.52517700195,2,1,108,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,3312.0350955867298,61.333983251606114,24456.262588500977,23870.70655822754,48326.969146728516,585.5560302734375,48912.52517700195,48912.52517700195,0.0,48912.52517700195,48912.52517700195,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,40.889322167737404,20.444661083868702,54.0,54.0,54.0,0.0,0.0,2,0,0,0,3,0,0,0,0.5,54.0,54.0,54.0,40,0,0,0,0,0,0,2,108,1,54,1024,255,0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.7:59457-34.54.84.110:443-6,192.168.1.7,59457,34.54.84.110,443,6,24/04/2026 23:26:16,59457,443,6,443,371900.7968902588,15,16,3285,5695,1304.0,54.0,219.0,316.3946902209328,1304.0,54.0,355.9375,490.95512380842916,24146.224141191706,83.35556218006046,12396.693229675293,44028.827571384725,245295.52459716797,220.0603485107422,371900.7968902588,26564.34263501848,68518.25630248112,270595.5505371094,244.61746215820312,345882.6541900635,23058.8436126709,60182.84661529702,245295.52459716797,220.0603485107422,0,0,0,0,300,320,40.333336538738926,43.022225641321526,54.0,1304.0,289.6774193548387,421.3400578260084,177527.4443288241,2,2,0,12,30,0,0,0,1.0666666666666667,289.6774193548387,219.0,355.9375,300,0,0,0,0,0,0,15,3285,16,5695,511,1046,11,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.7:59315-57.155.142.113:443-6,192.168.1.7,59315,57.155.142.113,443,6,24/04/2026 23:26:36,59315,443,6,443,85816.62178039551,2,2,108,108,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,2516.994907498729,46.61101680553202,28605.540593465168,40113.62915644102,85334.77783203125,231.02760314941406,85816.62178039551,85816.62178039551,0.0,85816.62178039551,85816.62178039551,250.81634521484375,250.81634521484375,0.0,250.81634521484375,250.81634521484375,0,0,0,0,40,40,23.30550840276601,23.30550840276601,54.0,54.0,54.0,0.0,0.0,2,0,0,0,4,0,0,0,1.0,54.0,54.0,54.0,40,0,0,0,0,0,0,2,108,2,108,511,16386,0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.7:59470-34.54.84.110:443-6,192.168.1.7,59470,34.54.84.110,443,6,24/04/2026 23:26:31,59470,443,6,443,10123665.09437561,16,18,3286,5886,1304.0,54.0,205.375,303.06700476132335,1304.0,54.0,327.0,470.0837986761273,905.995992014362,3.3584674802102383,306777.73013259424,1599907.5758066722,9350337.028503418,221.25244140625,10123665.09437561,674911.0062917073,2326282.039913517,9372618.436813354,226.49765014648438,10100920.43876648,594171.7905156752,2197141.713750718,9373590.230941772,221.25244140625,0,0,0,0,320,360,1.580455284804818,1.7780121954054202,54.0,1304.0,269.7647058823529,404.84252994027554,163897.4740484429,2,2,0,15,33,0,0,0,1.125,269.7647058823529,205.375,327.0,320,0,0,0,0,0,0,16,3286,18,5886,511,1047,12,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
13.69.239.74:443-192.168.1.7:59317-6,192.168.1.7,59317,13.69.239.74,443,6,24/04/2026 23:25:40,59317,443,6,443,75299541.71180725,2,3,110,186,55.0,55.0,55.0,0.0,66.0,54.0,62.0,5.656854249492381,3.9309668195973373,0.06640146654725232,18824885.427951813,18145926.463386644,45011021.852493286,186245.67985534668,45197267.53234863,45197267.53234863,0.0,45197267.53234863,45197267.53234863,75113296.0319519,37556648.01597595,11202776.670455933,48759424.686431885,26353871.34552002,0,0,0,0,40,60,0.026560586618900928,0.03984087992835139,54.0,66.0,59.2,5.564171097297422,30.959999999999994,0,0,1,0,5,0,0,0,1.5,59.2,55.0,62.0,40,0,0,0,0,0,0,2,110,3,186,508,0,2,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.7:59496-23.215.215.3:443-6,192.168.1.7,59496,23.215.215.3,443,6,24/04/2026 23:27:03,59496,443,6,443,66931.72454833984,12,17,1237,6677,259.0,54.0,103.08333333333333,66.32553346102004,1304.0,54.0,392.7647058823529,484.93911436043,118239.89376344699,433.2773463659291,2390.41873386928,4627.9760005132775,15278.57780456543,215.05355834960938,66931.72454833984,6084.702231667258,6333.189676136791,16563.17710876465,215.05355834960938,53049.325942993164,3315.5828714370728,5314.977708753215,16006.4697265625,252.72369384765625,0,0,0,0,240,340,179.28717780659133,253.99016855933772,54.0,1304.0,272.8965517241379,400.0392519385537,160031.40309155764,2,2,1,14,28,0,0,0,1.4166666666666667,272.8965517241379,103.08333333333333,392.7647058823529,240,0,0,0,0,0,0,12,1237,17,6677,0,501,8,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.7:65341-8.8.8.8:53-17,192.168.1.7,65341,8.8.8.8,53,17,24/04/2026 23:25:15,65341,53,17,53,18517.017364501953,1,1,84,100,84.0,84.0,84.0,0.0,100.0,100.0,100.0,0.0,9936.8055004764,108.00875543996086,18517.017364501953,0.0,18517.017364501953,18517.017364501953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,54.00437771998043,54.00437771998043,84.0,100.0,92.0,8.0,64.0,0,0,0,0,0,0,0,0,1.0,92.0,84.0,100.0,20,0,0,0,0,0,0,1,84,1,100,0,0,1,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.7:59407-20.50.88.234:443-6,192.168.1.7,59407,20.50.88.234,443,6,24/04/2026 23:25:31,59407,443,6,443,104291262.86506653,6,7,1659,1120,792.0,54.0,276.5,317.28417861595307,391.0,54.0,160.0,146.7738785634945,26.64652746218548,0.12465090212609256,8690938.572088877,21235184.515682172,73599704.50401306,238.89541625976562,104291262.86506653,20858252.573013306,28782923.61237037,73599704.50401306,172861.09924316406,104077817.44003296,17346302.90667216,27541323.510283753,73772388.21983337,301.59950256347656,0,0,0,0,120,140,0.05753118559665811,0.06711971652943446,54.0,792.0,213.76923076923077,247.86198201857727,61435.56213017752,2,0,0,6,13,0,0,0,1.1666666666666667,213.76923076923077,276.5,160.0,120,0,0,0,0,0,0,6,1659,7,1120,508,16384,4,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.7:59512-34.54.84.110:443-6,192.168.1.7,59512,34.54.84.110,443,6,24/04/2026 23:27:16,59512,443,6,443,364653.1105041504,14,18,3231,5827,1304.0,54.0,230.78571428571428,324.3030281721598,1304.0,54.0,323.72222222222223,471.76015628890116,24840.04589314179,87.7546333164647,11763.003564650011,42746.70018794276,241455.078125,217.67616271972656,364653.1105041504,28050.239269550028,70679.12922854045,270331.85958862305,225.54397583007812,342128.7536621094,20125.220803653494,56228.64674434279,241455.078125,217.67616271972656,0,0,0,0,280,360,38.39265207595331,49.3619812405114,54.0,1304.0,283.0625,416.3258142293725,173327.18359374997,2,2,0,12,31,0,0,0,1.2857142857142858,283.0625,230.78571428571428,323.72222222222223,280,0,0,0,0,0,0,14,3231,18,5827,511,1045,10,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.7:59288-216.239.36.223:443-6,192.168.1.7,59288,216.239.36.223,443,6,24/04/2026 23:25:16,59288,443,6,443,134834576.6067505,12,13,681,810,78.0,54.0,56.75,6.417748826496718,66.0,54.0,62.30769230769231,5.538461538461538,11.057994451590492,0.18541238181741268,5618107.358614604,7238019.868684385,15016213.655471802,224.3518829345703,134818635.94055176,12256239.63095925,5778662.9753087,15034242.868423462,224.3518829345703,134817946.67243958,11234828.889369965,6484165.029693936,15033523.321151733,248.43215942382812,0,0,0,0,240,260,0.08899794327235808,0.09641443854505459,54.0,78.0,59.64,6.590174504518071,43.430400000000006,2,0,3,1,22,0,0,0,1.0833333333333333,59.64,56.75,62.30769230769231,240,0,0,0,0,0,0,12,681,13,810,509,0,10,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.7:59548-216.239.36.223:443-6,192.168.1.7,59548,216.239.36.223,443,6,24/04/2026 23:27:22,59548,443,6,443,5379132.509231567,11,11,2235,2068,1099.0,54.0,203.1818181818182,328.0473408690271,1222.0,54.0,188.0,332.4998974709343,799.9431121310492,4.089878797788306,256149.16710626511,412180.35050639405,1012448.787689209,359.0583801269531,5379132.509231567,537913.2509231567,471128.2261236261,1025167.2267913818,359.0583801269531,5355944.633483887,535594.4633483887,475946.89022922586,1033067.9416656494,636.5776062011719,0,0,0,0,220,220,2.044939398894153,2.044939398894153,54.0,1222.0,195.5909090909091,330.3683425141356,109143.2417355372,2,2,0,5,21,0,0,0,1.0,195.5909090909091,203.1818181818182,188.0,220,0,0,0,0,0,0,11,2235,11,2068,512,1048,7,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.7:59564-8.8.8.8:443-6,192.168.1.7,59564,8.8.8.8,443,6,24/04/2026 23:27:32,59564,443,6,443,387905.5976867676,14,19,3026,8384,1304.0,54.0,216.14285714285714,333.03814821017926,1304.0,54.0,441.2631578947368,507.04041592313075,29414.373156877038,85.07224488842614,12122.049927711487,44655.49473213605,257075.30975341797,290.6322479248047,387905.5976867676,29838.89212975135,71552.25068616771,275027.5135040283,335.45494079589844,364151.2393951416,20230.6244108412,63479.86645189606,279883.62312316895,324.249267578125,0,0,0,0,280,380,36.09125540721109,48.98098948121505,54.0,1304.0,345.75757575757575,455.4723176435398,207455.0321395776,2,2,0,15,32,0,0,0,1.3571428571428572,345.75757575757575,216.14285714285714,441.2631578947368,280,0,0,0,0,0,0,14,3026,19,8384,512,1046,10,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.7:65342-239.255.255.250:1900-17,192.168.1.7,65342,239.255.255.250,1900,17,24/04/2026 23:25:35,65342,1900,17,1900,3024724.4834899902,4,0,848,0,212.0,212.0,212.0,0.0,0.0,0.0,0.0,0.0,280.3561133017841,1.3224344967065287,1008241.4944966633,2708.9621189814734,1011682.0335388184,1005061.8648529053,3024724.4834899902,1008241.4944966633,2708.9621189814734,1011682.0335388184,1005061.8648529053,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,1.3224344967065287,0.0,212.0,212.0,212.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,212.0,212.0,0.0,80,0,0,0,0,0,0,4,848,0,0,0,0,4,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
