Source Port,Destination Port,Protocol,Destination Port.1,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,50220,6,50220,1.0,0,1,0,54,0.0,0.0,0.0,0.0,54.0,54.0,54.0,0.0,54000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,20,0.0,1000000.0,54.0,54.0,54.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,54.0,0.0,54.0,0,0,0,0,0,0,0,0,0,1,54,0,0,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anomaly
80,50219,6,50219,1.0,0,1,0,54,0.0,0.0,0.0,0.0,54.0,54.0,54.0,0.0,54000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,20,0.0,1000000.0,54.0,54.0,54.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,54.0,0.0,54.0,0,0,0,0,0,0,0,0,0,1,54,0,0,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anomaly
53,65361,6,65361,23670.673370361328,4,5,292,318,118.0,54.0,73.0,26.43860813280457,90.0,54.0,63.6,13.994284547628721,25770.28504663484,380.21732036018614,2958.834171295166,6593.69035453594,20398.616790771484,214.57672119140625,2640.0089263916016,880.0029754638672,335.3206799186384,1334.6672058105469,535.9649658203125,23670.673370361328,5917.668342590332,8665.09195734216,20913.83934020996,464.9162292480469,1,1,0,0,80,100,168.98547571563827,211.23184464454786,54.0,118.0,67.77777777777777,21.006759641060395,441.28395061728384,2,2,0,2,8,0,0,0,1.25,67.77777777777777,73.0,63.6,80,0,0,0,0,0,0,4,292,5,318,1054,512,0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53,59986,6,59986,135951.04217529297,4,5,292,318,118.0,54.0,73.0,26.43860813280457,90.0,54.0,63.6,13.994284547628721,4486.909333239802,66.2003016379643,16993.88027191162,28122.060550723538,70856.09436035156,276.32713317871094,133590.9366607666,44530.31222025553,30784.406466058183,71440.6967163086,1437.4256134033203,135951.04217529297,33987.76054382324,32931.86905838185,71391.58248901367,350.4753112792969,1,1,0,0,80,100,29.422356283539685,36.77794535442461,54.0,118.0,67.77777777777777,21.006759641060395,441.28395061728384,2,2,0,2,8,0,0,0,1.25,67.77777777777777,73.0,63.6,80,0,0,0,0,0,0,4,292,5,318,1054,512,0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53,53841,6,53841,203916.7881011963,4,5,292,318,118.0,54.0,73.0,26.43860813280457,90.0,54.0,63.6,13.994284547628721,2991.4162815142017,44.13565005512756,25489.598512649536,59477.148510045256,181950.56915283203,227.21290588378906,183562.5171661377,61187.5057220459,85570.1493926419,182201.86233520508,539.5412445068359,203916.7881011963,50979.19702529907,76360.28723756252,182529.21104431152,344.0380096435547,1,1,0,0,80,100,19.615844468945586,24.51980558618198,54.0,118.0,67.77777777777777,21.006759641060395,441.28395061728384,2,2,0,2,8,0,0,0,1.25,67.77777777777777,73.0,63.6,80,0,0,0,0,0,0,4,292,5,318,1054,512,0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53,60003,6,60003,104423.04611206055,4,4,292,264,118.0,54.0,73.0,26.43860813280457,90.0,54.0,66.0,14.696938456699069,5324.495125370449,76.61144065281222,14917.57801600865,17540.440885224485,41651.248931884766,491.6191101074219,82595.1099395752,27531.70331319173,19075.794974652723,42142.86804199219,586.5097045898438,104423.04611206055,34807.682037353516,9006.830085391517,42201.04217529297,22128.34358215332,1,1,0,0,80,80,38.30572032640611,38.30572032640611,54.0,118.0,69.5,21.673716801693242,469.74999999999994,2,2,0,2,7,0,0,0,1.0,69.5,73.0,66.0,80,0,0,0,0,0,0,4,292,4,264,1054,512,0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80,50290,6,50290,15037831.544876099,215,162,400106,9435,5054.0,54.0,1860.9581395348837,810.4772312864488,394.0,54.0,58.24074074074074,37.27240490433288,27234.046263774286,25.070103949159925,39994.23283211728,709620.8259824631,13776926.517486572,208.6162567138672,14960997.104644775,69911.20142357372,963978.2123071599,14137013.912200928,266.3135528564453,15037831.544876099,93402.68040295712,1082234.2017682395,13776926.517486572,295.6390380859375,155,2,0,0,4300,3240,14.297274135462558,10.772829813697369,54.0,5054.0,1086.315649867374,1082.4033155439056,1171596.9375004396,2,2,0,157,376,0,0,0,0.7534883720930232,1086.315649867374,1860.9581395348837,58.24074074074074,4300,0,0,0,0,0,0,215,400106,162,9435,8,1025,211,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anomaly
443,60020,6,60020,6229911.804199219,16,15,7703,3179,3804.0,54.0,481.4375,942.977993430255,1304.0,54.0,211.93333333333334,326.48010999480846,1746.734198173573,4.975993396745154,207663.72680664062,446910.87293282116,1922503.94821167,220.77560424804688,6228167.295455933,415211.1530303955,562885.7722478897,1922814.3692016602,342.6074981689453,6229911.804199219,444993.70029994415,574285.3679186723,1923119.5449829102,509.7389221191406,6,3,0,0,320,300,2.5682546563845956,2.4077387403605583,54.0,3804.0,351.03225806451616,727.0904227332286,528660.4828303851,2,2,0,9,30,0,0,0,0.9375,351.03225806451616,481.4375,211.93333333333334,320,0,0,0,0,0,0,16,7703,15,3179,16,507,12,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anomaly
53,65496,6,65496,226653.0990600586,4,5,292,318,118.0,54.0,73.0,26.43860813280457,90.0,54.0,63.6,13.994284547628721,2691.337566217712,39.708259173703944,28331.637382507324,40673.81490996516,120634.79423522949,285.6254577636719,176673.88916015625,58891.29638671875,49163.453000152134,120920.41969299316,676.3935089111328,226653.0990600586,56663.27476501465,43944.729812551275,123646.49772644043,486.3739013671875,1,1,0,0,80,100,17.648115188312865,22.06014398539108,54.0,118.0,67.77777777777777,21.006759641060395,441.28395061728384,2,2,0,2,8,0,0,0,1.25,67.77777777777777,73.0,63.6,80,0,0,0,0,0,0,4,292,5,318,1054,512,0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
443,65500,6,65500,1980260.1337432861,17,18,5780,7471,3804.0,54.0,340.0,874.8329588454889,1304.0,54.0,415.05555555555554,502.8798699294365,6691.545102688924,17.67444559611443,58242.945110096654,126175.75139728302,555758.4762573242,210.28518676757812,1734121.322631836,108382.58266448975,177007.16328689898,557638.1683349609,210.28518676757812,1980260.1337432861,116485.89022019331,167133.7789983666,557914.4954681396,268.2209014892578,7,8,0,0,340,360,8.584730718112723,9.089714878001708,54.0,3804.0,378.6,709.3637873877852,503196.982857143,2,2,1,15,34,0,0,0,1.0588235294117647,378.6,340.0,415.05555555555554,340,0,0,0,0,0,0,17,5780,18,7471,16386,0,13,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anomaly
