Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Source Port,Destination Port,Protocol,Destination Port.1,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.3:56506-34.120.250.63:443-6,34.120.250.63,443,192.168.1.3,56506,6,29/04/2026 19:56:37,443,56506,6,56506,15013520.956039429,2,3,120,163,66.0,54.0,60.0,6.0,55.0,54.0,54.333333333333336,0.4714045207910317,18.849675624301756,0.3330331382385469,3753380.239009857,6474029.918468282,14966717.48161316,503.5400390625,14990903.13911438,14990903.13911438,0.0,14990903.13911438,14990903.13911438,15013520.956039429,7506760.478019714,7482071.280479431,14988831.758499146,24689.197540283203,0,0,0,0,40,60,0.13321325529541878,0.19981988294312814,54.0,66.0,56.6,4.715930449020639,22.240000000000002,2,0,0,0,5,0,0,0,1.5,56.6,60.0,54.333333333333336,40,0,0,0,0,0,0,2,120,3,163,1046,509,0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.3:56560-34.54.84.110:443-6,34.54.84.110,443,192.168.1.3,56560,6,29/04/2026 19:56:44,443,56560,6,56560,1707665.9202575684,24,19,6983,5093,1304.0,54.0,290.9583333333333,435.92846117670376,1304.0,54.0,268.05263157894734,375.8032062948584,7071.640803242457,25.180569272890498,40658.71238708496,130626.18202492257,741888.2846832275,859.7373962402344,1682651.7581939697,73158.77209538998,174588.6974818971,766462.8028869629,859.7373962402344,1707665.9202575684,94870.32890319824,213738.53209600053,846379.0416717529,1078.1288146972656,0,0,0,0,480,380,14.054271222078418,11.12629805081208,54.0,1304.0,280.83720930232556,410.6065808007261,168597.7641968632,2,2,0,18,42,0,0,0,0.7916666666666666,280.83720930232556,290.9583333333333,268.05263157894734,480,0,0,0,0,0,0,24,6983,19,5093,1046,511,20,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.3:56564-34.54.84.110:443-6,34.54.84.110,443,192.168.1.3,56564,6,29/04/2026 19:56:47,443,56564,6,56564,382681.36978149414,13,15,5515,2948,1304.0,54.0,424.2307692307692,521.1674991115403,1304.0,54.0,196.53333333333333,313.1714901171916,22115.003938739577,73.16792039285221,14173.384065981265,46998.42513103211,250315.90461730957,381.4697265625,356928.58695983887,29744.048913319904,71322.9783514915,264174.9382019043,506.8778991699219,382681.36978149414,27334.383555821012,63674.34718325804,251824.14054870605,423.431396484375,0,0,0,0,260,300,33.97082018239566,39.19710021045654,54.0,1304.0,302.25,437.6568800360131,191543.54464285716,2,2,0,12,27,0,0,0,1.1538461538461537,302.25,424.2307692307692,196.53333333333333,260,0,0,0,0,0,0,13,5515,15,2948,1047,511,9,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.3:56566-23.215.215.3:443-6,23.215.215.3,443,192.168.1.3,56566,6,29/04/2026 19:56:47,443,56566,6,56566,169408.79821777344,17,10,6688,1129,1304.0,54.0,393.4117647058824,485.1241270902954,259.0,54.0,112.9,68.561578161533,46142.821873698194,159.37779078800708,6515.723008375901,15561.790344258208,73170.42350769043,370.5024719238281,162402.39143371582,10150.149464607239,19779.272753895984,76076.03073120117,496.14906311035156,124341.48788452148,13815.720876057943,22232.616064751528,74944.73457336426,530.4813385009766,0,0,0,0,340,200,100.34897938504149,59.02881140296558,54.0,1304.0,289.51851851851853,410.208381586397,168270.9163237311,2,2,1,13,26,0,0,0,0.5882352941176471,289.51851851851853,393.4117647058824,112.9,340,0,0,0,0,0,0,17,6688,10,1129,501,0,13,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
142.251.223.129:443-192.168.1.3:56422-6,142.251.223.129,443,192.168.1.3,56422,6,29/04/2026 19:56:47,443,56422,6,56422,17607.927322387695,2,3,108,186,54.0,54.0,54.0,0.0,78.0,54.0,62.0,11.313708498984761,16697.02484665484,283.96300759617077,4401.981830596924,6227.163919259062,15184.640884399414,587.46337890625,827.0740509033203,827.0740509033203,0.0,827.0740509033203,827.0740509033203,17607.927322387695,8803.963661193848,7795.214653015137,16599.178314208984,1008.7490081787109,0,0,0,0,40,60,113.58520303846831,170.37780455770246,54.0,78.0,58.8,9.6,92.16,2,0,0,1,5,0,0,0,1.5,58.8,54.0,62.0,40,0,0,0,0,0,0,2,108,3,186,1047,512,0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
150.171.22.12:80-192.168.1.3:56469-6,150.171.22.12,80,192.168.1.3,56469,6,29/04/2026 19:56:51,80,56469,6,56469,242012.02392578125,2,1,108,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,669.3882286182655,12.396078307745658,121006.01196289062,120138.40675354004,241144.41871643066,867.6052093505859,867.6052093505859,867.6052093505859,0.0,867.6052093505859,867.6052093505859,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,8.264052205163772,4.132026102581886,54.0,54.0,54.0,0.0,0.0,1,0,1,0,3,0,0,0,0.5,54.0,54.0,54.0,40,0,0,0,0,0,0,2,108,1,54,0,512,1,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
150.171.22.12:80-192.168.1.3:56470-6,150.171.22.12,80,192.168.1.3,56470,6,29/04/2026 19:56:51,80,56470,6,56470,241810.32180786133,2,1,108,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,669.9465878413687,12.40641829335868,120905.16090393066,117172.7180480957,238077.87895202637,3732.442855834961,3732.442855834961,3732.442855834961,0.0,3732.442855834961,3732.442855834961,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,8.270945528905786,4.135472764452893,54.0,54.0,54.0,0.0,0.0,1,0,1,0,3,0,0,0,0.5,54.0,54.0,54.0,40,0,0,0,0,0,0,2,108,1,54,0,512,1,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
151.101.67.42:443-192.168.1.3:56480-6,151.101.67.42,443,192.168.1.3,56480,6,29/04/2026 19:56:51,443,56480,6,56480,434975.14724731445,4,2,240,108,78.0,54.0,60.0,10.392304845413264,54.0,54.0,54.0,0.0,800.045708823307,13.793891531436326,86995.02944946289,106994.28818653412,241630.55419921875,472.06878662109375,193344.5930480957,64448.19768269856,90211.5713855568,192026.61514282227,614.6430969238281,243420.60089111328,243420.60089111328,0.0,243420.60089111328,243420.60089111328,0,0,0,0,80,40,9.195927687624218,4.597963843812109,54.0,78.0,58.0,8.94427190999916,80.00000000000001,3,0,1,1,6,0,0,0,0.5,58.0,60.0,54.0,80,0,0,0,0,0,0,4,240,2,108,274,0,1,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
150.171.22.12:443-192.168.1.3:56464-6,150.171.22.12,443,192.168.1.3,56464,6,29/04/2026 19:56:51,443,56464,6,56464,238426.44691467285,2,1,108,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,679.4548259907423,12.58249677760634,119213.22345733643,118439.07833099365,237652.30178833008,774.1451263427734,774.1451263427734,774.1451263427734,0.0,774.1451263427734,774.1451263427734,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,8.388331185070893,4.194165592535446,54.0,54.0,54.0,0.0,0.0,1,0,1,0,3,0,0,0,0.5,54.0,54.0,54.0,40,0,0,0,0,0,0,2,108,1,54,16382,510,1,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.3:56533-34.120.250.63:443-6,34.120.250.63,443,192.168.1.3,56533,6,29/04/2026 19:56:39,443,56533,6,56533,16446074.24736023,2,3,120,163,66.0,54.0,60.0,6.0,55.0,54.0,54.333333333333336,0.4714045207910317,17.207754005210365,0.30402392235354,4111518.5618400574,7092763.089738242,16396533.250808716,775.5756378173828,16420564.889907837,16420564.889907837,0.0,16420564.889907837,16420564.889907837,16446074.24736023,8223037.123680115,8198229.908943176,16421267.032623291,24807.214736938477,0,0,0,0,40,60,0.12160956894141599,0.182414353412124,54.0,66.0,56.6,4.715930449020639,22.240000000000002,2,0,0,0,5,0,0,0,1.5,56.6,60.0,54.333333333333336,40,0,0,0,0,0,0,2,120,3,163,1046,509,0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
104.26.13.38:443-192.168.1.3:56613-6,104.26.13.38,443,192.168.1.3,56613,6,29/04/2026 19:56:54,443,56613,6,56613,6402358.055114746,16,15,4870,3450,1304.0,54.0,304.375,452.962591584559,1304.0,54.0,230.0,343.2897706991379,1299.5211964681168,4.841965996455723,213411.93517049155,364746.52351917606,1011882.0667266846,372.88665771484375,6380089.75982666,425339.31732177734,442940.3707938885,1034405.2314758301,539.7796630859375,6402358.055114746,457311.28965105326,439156.5896242469,1037915.9450531006,873.3272552490234,0,0,0,0,320,300,2.4990792239771475,2.342886772478576,54.0,1304.0,268.38709677419354,405.34116872002187,164301.46305931325,2,2,0,8,30,0,0,0,0.9375,268.38709677419354,304.375,230.0,320,0,0,0,0,0,0,16,4870,15,3450,16,508,12,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.3:56387-216.239.34.223:443-6,216.239.34.223,443,192.168.1.3,56387,6,29/04/2026 19:56:40,443,56387,6,56387,24655799.865722656,7,7,531,467,127.0,54.0,75.85714285714286,27.79737177416276,93.0,54.0,66.71428571428571,14.848898811641467,40.47729156771158,0.5678177173827276,1896599.9896709735,4469812.125422655,15005571.126937866,345.2301025390625,24515620.946884155,4085936.824480693,5884263.737340234,15052699.089050293,345.2301025390625,24608004.331588745,4101334.0552647905,5925008.722870034,15145750.045776367,377.655029296875,0,0,0,0,140,140,0.2839088586913638,0.2839088586913638,54.0,127.0,71.28571428571429,22.748402051976473,517.4897959183675,3,0,1,5,13,0,0,0,1.0,71.28571428571429,75.85714285714286,66.71428571428571,140,0,0,0,0,0,0,7,531,7,467,0,510,4,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
