Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.7:51159-216.239.32.223:443-6,216.239.32.223,443,192.168.1.7,51159,6,21/04/2026 23:34:50,51159,16714.33448791504,3,3,162,186,54.0,54.0,54.0,0.0,78.0,54.0,62.0,11.313708498984761,20820.452064760004,358.97331146137935,3342.866897583008,5968.558055906635,15277.385711669922,231.5044403076172,16714.33448791504,8357.16724395752,8037.209510803223,16394.376754760742,319.9577331542969,523.0903625488281,261.54518127441406,30.040740966796875,291.58592224121094,231.5044403076172,0,0,0,0,60,60,179.48665573068968,179.48665573068968,54.0,78.0,58.0,8.94427190999916,80.00000000000001,2,0,2,1,4,0,0,0,1.0,58.0,54.0,62.0,60,0,0,0,0,0,0,3,162,3,186,0,509,1,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.7:51208-23.215.215.48:443-6,192.168.1.7,51208,23.215.215.48,443,6,21/04/2026 23:35:07,443,84595.91865539551,12,19,1238,6795,259.0,54.0,103.16666666666667,66.4164052692472,1304.0,54.0,357.63157894736844,469.6880499501003,94957.29968632071,366.4479385380234,2819.86395517985,4359.245037100328,13911.247253417969,221.72927856445312,84595.91865539551,7690.5380595814095,7341.321435527762,19971.847534179688,224.82872009277344,78065.39535522461,4336.966408623589,5868.649638849541,18570.899963378906,225.067138671875,0,0,0,0,240,380,141.85081491794455,224.59712362007886,54.0,1304.0,259.1290322580645,390.2318369591119,152280.88657648288,2,2,1,14,30,0,0,0,1.5833333333333333,259.1290322580645,103.16666666666667,357.63157894736844,240,0,0,0,0,0,0,12,1238,19,6795,0,506,8,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.2:49154-255.255.255.255:6667-17,192.168.1.2,49154,255.255.255.255,6667,17,21/04/2026 23:34:39,6667,135065690.51742554,27,0,6210,0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,45.97762745083523,0.1999027280471097,5194834.250670212,948694.4267030337,9933350.563049316,4914988.75617981,135065690.51742554,5194834.250670212,948694.4267030337,9933350.563049316,4914988.75617981,0.0,0.0,0.0,0.0,0.0,0,0,0,0,540,0,0.1999027280471097,0.0,230.0,230.0,230.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,230.0,230.0,0.0,540,0,0,0,0,0,0,27,6210,0,0,0,0,27,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.7:61300-192.178.211.93:443-17,192.168.1.7,61300,192.178.211.93,443,17,21/04/2026 23:34:41,443,131420807.60002136,130,151,82704,19298,1292.0,74.0,636.1846153846154,558.7341707909652,973.0,64.0,127.80132450331126,198.962341934798,776.14802300137,2.1381697855275874,469360.02714293345,2527039.900362194,21807122.468948364,252.00843811035156,131368276.11923218,1018358.7296064509,3662448.5617389395,21860575.914382935,252.00843811035156,131374218.70231628,875828.1246821085,3413983.2608509604,21876925.230026245,253.20053100585938,0,0,0,0,2600,3020,0.9891888687494177,1.1489809167781697,64.0,1292.0,362.9964412811388,479.53250883918065,229951.42703359885,0,0,0,0,0,0,0,0,1.1615384615384616,362.9964412811388,636.1846153846154,127.80132450331126,2600,0,0,0,0,0,0,130,82704,151,19298,0,0,130,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
172.64.148.235:443-192.168.1.7:50955-6,172.64.148.235,443,192.168.1.7,50955,6,21/04/2026 23:34:44,50955,120024565.21987915,14,7,924,574,78.0,54.0,66.0,12.0,82.0,82.0,82.0,0.0,12.480778391121326,0.1749641830531027,6001228.2609939575,9147243.56443319,19985265.493392944,316.38145446777344,120024565.21987915,9232658.863067627,9944424.140838496,19985265.493392944,24985.790252685547,119999117.13600159,19999852.856000263,5943.403408068493,20010390.758514404,19990139.00756836,0,0,0,0,280,140,0.11664278870206847,0.058321394351034235,54.0,82.0,71.33333333333333,12.364824660660938,152.88888888888889,0,0,0,14,21,0,0,0,0.5,71.33333333333333,66.0,82.0,280,0,0,0,0,0,0,14,924,7,574,16,511,14,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.1:53843-192.168.1.255:9995-17,192.168.1.1,53843,192.168.1.255,9995,17,21/04/2026 23:34:45,9995,130560347.08023071,19,0,6897,0,363.0,363.0,363.0,0.0,0.0,0.0,0.0,0.0,52.82614633186997,0.14552657391699717,7253352.615568372,1807308.2123997665,14132163.524627686,3994646.5492248535,130560347.08023071,7253352.615568372,1807308.2123997665,14132163.524627686,3994646.5492248535,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0,0.14552657391699717,0.0,363.0,363.0,363.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,363.0,363.0,0.0,380,0,0,0,0,0,0,19,6897,0,0,0,0,19,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
104.18.39.21:443-192.168.1.7:51163-6,104.18.39.21,443,192.168.1.7,51163,6,21/04/2026 23:34:49,51163,120017410.51673889,14,7,924,574,78.0,54.0,66.0,12.0,82.0,82.0,82.0,0.0,12.481522418708352,0.17497461334637876,6000870.525836945,9153459.36328991,20000053.40576172,322.10350036621094,120017410.51673889,9232108.501287607,9953397.91597078,20000053.40576172,13779.401779174805,120001255.75065613,20000209.29177602,8893.567624298983,20015022.27783203,19984293.460845947,0,0,0,0,280,140,0.11664974223091917,0.05832487111545959,54.0,82.0,71.33333333333333,12.364824660660938,152.88888888888889,0,0,0,14,21,0,0,0,0.5,71.33333333333333,66.0,82.0,280,0,0,0,0,0,0,14,924,7,574,18,510,14,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
142.251.152.119:443-192.168.1.7:54893-17,192.168.1.7,54893,142.251.152.119,443,17,21/04/2026 23:34:50,443,123809426.30767822,46,37,3273,2487,75.0,71.0,71.15217391304348,0.7213330444798722,72.0,65.0,67.21621621621621,1.397587402578151,46.52311356072236,0.670385143322909,1509871.0525326612,5235058.166802515,26954875.946044922,250.10108947753906,123787568.80760193,2750834.862391154,6835887.479848055,27001833.91571045,406.50367736816406,123760895.49064636,3437802.6525179544,7489750.528632208,27003481.62651062,250.10108947753906,0,0,0,0,920,740,0.3715387541307688,0.2988463891921401,65.0,75.0,69.39759036144578,2.2330472941114397,4.986500217738422,0,0,0,0,0,0,0,0,0.8043478260869565,69.39759036144578,71.15217391304348,67.21621621621621,920,0,0,0,0,0,0,46,3273,37,2487,0,0,46,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.7:51035-216.239.36.223:443-6,192.168.1.7,51035,216.239.36.223,443,6,21/04/2026 23:34:50,443,124171002.14958191,900,684,990355,101042,1304.0,54.0,1100.3944444444444,450.4527512184235,1304.0,54.0,147.72222222222223,201.32545885547069,8789.467597960227,12.756601562189562,78440.30457964745,928303.6395484938,15015055.418014526,213.14620971679688,124158226.72843933,138107.03751773006,1229768.0416508494,15025644.779205322,259.16099548339844,124150660.75325012,181772.56332833107,1409665.0538704388,15039823.055267334,213.14620971679688,0,0,0,0,18000,13680,7.248069069425887,5.508532492763674,54.0,1304.0,689.0132575757576,596.2112314660442,355467.8325262569,0,0,0,217,1584,0,0,0,0.76,689.0132575757576,1100.3944444444444,147.72222222222223,18000,0,0,0,0,0,0,900,990355,684,101042,508,13435,900,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.1.7:51161-216.239.34.223:443-6,192.168.1.7,51161,216.239.34.223,443,6,21/04/2026 23:34:50,443,61983225.34561157,10,12,1113,2468,598.0,54.0,111.3,162.38352748970567,1304.0,54.0,205.66666666666666,354.7182763201743,57.77369570610019,0.3549347404451841,2951582.1593148364,5855185.843573715,15014377.355575562,224.11346435546875,61983225.34561157,6887025.038401286,7290806.7224093415,15031860.3515625,224.11346435546875,61964437.48474121,5633130.6804310195,7112772.050544063,15041761.636734009,234.12704467773438,0,0,0,0,200,240,0.16133397292962914,0.19360076751555497,54.0,1304.0,162.77272727272728,287.7939496202388,82825.35743801654,2,0,0,5,22,0,0,0,1.2,162.77272727272728,111.3,205.66666666666666,200,0,0,0,0,0,0,10,1113,12,2468,512,5840,8,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
